"url","New column","New column (1)"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Boxeo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bujinkan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","But Marma Atti","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Borneo Silat","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Buno","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Capoeira","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Chaquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Chess boxing","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Chow Gar","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Choy Lay Fut","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Cinco Teros","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Dambe (Hausa Boxing)","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ditangquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Do Pi Kung Fu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Dragon Kung Fu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Drunken Boxing","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Dumog","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Eagle Claw","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Emeiquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Esgrima","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Espada y daga","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fanziquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fencing","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Full Contact","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fujian White Crane","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fu Jow Pai","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Gatka","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Genbukan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Glima","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Gongfu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Goshin Jujitsu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Gouren","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hakko Ryu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hapkido","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Houquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hsing Yi","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hung Fut","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hung Gar","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Iaidō","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Inbuan Wrestling","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Pencak silat","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Piguaquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Pradal Serey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Rough and Tumble","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Sambo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","San Soo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Sarit Sarak","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Savate","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Schwingen","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shaolin Nam Pai Chuan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shaolin Quan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shastar Vidiya","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shidokan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shindo Yoshin Ryu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shinkendō","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shintaido","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shoot Boxing","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shooto","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shorinji Kempo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shuai Jiao","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","She Quan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Silat","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Sindo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Sikaran","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Southern Praying Mantis","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ssirum","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Sumo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Suntukan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Taekwondo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tae-Kyon","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tai Chi Chuan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Taido","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Taijiquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Taijutsu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tang Soo Do","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tantui","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tendo-Ryu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Thang-Ta","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tien Shan Pai","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tongbeiquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Vajra Mushti","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Varma Kalai","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wing Chun","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wrestling","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wado Ryu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wudangquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Wushu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Xingyiquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Yağlı güreş","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Yau Kung Mun","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Yawyan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Yingzhaoquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Yiquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Zui Quan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","BT sporten","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Lucha libre profesional","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Winterguard","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ball Hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Balompié","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Baloncesto","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Balonmano","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bandy","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Balonmano playa","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Béisbol","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Brilé","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bossaball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Box / indoor lacrosse","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bowling","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Broomball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Camogie","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Canadian football","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Cheerleading","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Cricket","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Curling","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Dodgeball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Eton Wall Game","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Field Hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fistball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Floorball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Frisian handball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fútbol americano","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fútbol australiano","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fútbol de playa","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Futbolín","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fútbol-Tenis","Deporte"
