"url","Gallery Text","Gallery Text_link","De","De_link"
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo iQue","https://es.wikipedia.org/wiki/Nintendo_iQue","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Neo Geo Pocket Color","https://es.wikipedia.org/wiki/Neo_Geo_Pocket_Color","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","N-Gage","https://es.wikipedia.org/wiki/N-Gage","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","N-Gage QD","https://es.wikipedia.org/wiki/N-Gage_QD","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Tapwave Zodiac","https://es.wikipedia.org/wiki/Tapwave_Zodiac","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PlayStation 3","https://es.wikipedia.org/wiki/PlayStation_3","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Xbox 360","https://es.wikipedia.org/wiki/Xbox_360","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Wii","https://es.wikipedia.org/wiki/Wii","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Zeebo","https://es.wikipedia.org/wiki/Zeebo","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PlayStation Portable","https://es.wikipedia.org/wiki/PlayStation_Portable","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo DS Lite","https://es.wikipedia.org/wiki/Nintendo_DS_Lite","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo DSi","https://es.wikipedia.org/wiki/Nintendo_DSi","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo DS","https://es.wikipedia.org/wiki/Nintendo_DS","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo DSi XL","https://es.wikipedia.org/wiki/Nintendo_DSi_XL","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PlayStation Portable Go","https://es.wikipedia.org/wiki/PlayStation_Portable_Go","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PlayStation Portable Slim & Lite","https://es.wikipedia.org/wiki/PlayStation_Portable_Slim_%26_Lite","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Gizmondo","https://es.wikipedia.org/wiki/Gizmondo","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PlayStation 4","https://es.wikipedia.org/wiki/PlayStation_4","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Xbox One","https://es.wikipedia.org/wiki/Xbox_One","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Wii U","https://es.wikipedia.org/wiki/Wii_U","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Ouya","https://es.wikipedia.org/wiki/Ouya","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo 3DS","https://es.wikipedia.org/wiki/Nintendo_3DS","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo 2DS","https://es.wikipedia.org/wiki/Nintendo_2DS","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","New Nintendo 3DS","https://es.wikipedia.org/wiki/New_Nintendo_3DS","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","New Nintendo 2DS XL","https://es.wikipedia.org/w/index.php?title=New_Nintendo_2DS_XL&action=edit&redlink=1","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PlayStation Vita","https://es.wikipedia.org/wiki/PlayStation_Vita","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo Switch","https://es.wikipedia.org/wiki/Nintendo_Switch","Videojuegos",""
