"New column","New column (1)"
"Eraserhead","Cine"
"Day of Wrath","Cine"
"Big Sleep, The","Cine"
"Underground","Cine"
"Love Streams","Cine"
"Husbands","Cine"
"Canterbury Tale, A","Cine"
"Autumn Afternoon, An","Cine"
"Touki Bouki","Cine"
"Kings of the Road","Cine"
"Orpheus","Cine"
"Philadelphia Story, The","Cine"
"Cinema Paradiso","Cine"
"Listen to Britain","Cine"
"Videodrome","Cine"
"Berlin Alexanderplatz","Cine"
"Puppetmaster, The","Cine"
"Last Picture Show, The","Cine"
"Reservoir Dogs","Cine"
"Harold and Maude","Cine"
"To Kill a Mockingbird","Cine"
"Peeping Tom","Cine"
"Empire Strikes Back, The","Cine"
"Mr. Hulot's Holiday","Cine"
"Sacrifice, The","Cine"
"All About My Mother","Cine"
"Bride of Frankenstein","Cine"
"In the Realm of the Senses","Cine"
"Lola Montes","Cine"
"Amadeus","Cine"
"Crime of Monsieur Lange, The","Cine"
"Killer of Sheep","Cine"
"Marnie","Cine"
"Matrix, The","Cine"
"Thing, The","Cine"
"Cabaret","Cine"
"October","Cine"
"Killing of a Chinese Bookie, The","Cine"
"Dawn of the Dead","Cine"
"Werckmeister Harmonies","Cine"
"El","Cine"
"Written on the Wind","Cine"
"Time to Live and the Time to Die, The","Cine"
"It Happened One Night","Cine"
"Midnight Cowboy","Cine"
"I Am Cuba","Cine"
"Kid, The","Cine"
"Dog Day Afternoon","Cine"
"Red Desert","Cine"
"Touch of Zen, A","Cine"
"Make Way for Tomorrow","Cine"
"Eyes Wide Shut","Cine"
"West Side Story","Cine"
"Eyes Without a Face","Cine"
"Where is the Friend's Home?","Cine"
"City of God","Cine"
"Back to the Future","Cine"
"Happy Together","Cine"
"How Green Was My Valley","Cine"
"Through the Olive Trees","Cine"
"Snow White and the Seven Dwarfs","Cine"
"Shoot the Piano Player","Cine"
"Tie Xi Qu: West of the Tracks","Cine"
"If�.","Cine"
"Kiss Me Deadly","Cine"
"Lost Highway","Cine"
"Days of Being Wild","Cine"
"Russian Ark","Cine"
"I Was Born, But...","Cine"
"Don't Look Back","Cine"
"Green Ray, The","Cine"
"Voyage dans la lune, Le","Cine"
"Salvatore Giuliano","Cine"
"Affair to Remember, An","Cine"
"Festen","Cine"
